time/fps,time/time_elapsed,time/total timesteps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
54,45257,2447808,-183.42252418,22080,123.51,23.52454965345321,0.0001,40.92189422730477,2443486
54,45301,2449073,-182.55282427000003,22090,121.53,24.234019870941456,0.0001,40.92256606542147,2445104
54,45332,2450256,-179.35496033000004,22100,120.16,23.860390146502805,0.0001,40.945313789666336,2446175
54,45365,2451259,-176.96100523,22110,115.01,23.980359840789603,0.0001,40.85286447207133,2447395
54,45393,2452338,-177.15835986000002,22120,117.12,23.66768651336204,0.0001,40.85225683314199,2448347
54,45433,2453566,-179.40600151999996,22130,118.02,23.868196077499253,0.0001,40.826489146493934,2449703
53,45451,2454309,-177.02418501999998,22140,116.04,24.053798530675188,0.0001,40.84537063726858,2450328
53,45489,2455554,-170.09978167,22150,115.14,23.42881934241911,0.0001,40.74854495001178,2451693
53,45516,2456631,-161.44953583,22160,111.74,23.863291075531865,0.0001,40.86976630251173,2452619
53,45550,2457835,-156.11221468,22170,112.46,24.376907820870255,0.0001,40.84787214719332,2453806
53,45584,2459070,-157.44455493,22180,112.62,23.707885058476375,0.0001,40.86366764948918,2455011
53,45615,2460089,-150.67529621,22190,110.16,23.86927727513905,0.0001,40.861947942002914,2456156
53,45642,2461279,-147.35345625,22200,110.23,23.79472629256727,0.0001,40.87638425992022,2457062
53,45674,2462102,-143.61108392999998,22210,108.43,23.81222373614682,0.0001,40.87824400223513,2458262
53,45699,2463262,-149.77993969000002,22220,109.24,23.582357362259266,0.0001,40.78978677793991,2459052
53,45730,2464191,-146.3102688,22230,106.25,23.983143544878278,0.0001,40.83951599121094,2460192
53,45759,2465205,-144.57852989999998,22240,108.96,24.073549573666583,0.0001,40.82537419328066,2461150
53,45793,2466283,-144.82827643000002,22250,107.29,23.783682353060012,0.0001,40.788051237542945,2462374
53,45814,2467166,-141.86383442,22260,105.35,23.92358983872254,0.0001,40.80753760806398,2463068
53,45844,2468163,-140.61185603,22270,103.28,23.952176001764112,0.0001,40.79923362556141,2464139
53,45877,2469364,-137.93452884999996,22280,102.94,23.92972245249715,0.0001,40.84873878372299,2465329
53,45915,2470707,-145.45857773999998,22290,106.18,23.857309714846327,0.0001,40.725970900378464,2466662
53,45943,2471720,-145.26629207,22300,104.41,23.777120777461082,0.0001,40.68842402767373,2467683
53,45980,2472973,-146.78758576,22310,108.71,23.617714259757506,0.0001,40.72694161214542,2469008
53,46008,2474021,-144.16504489000002,22320,107.59,23.48584817265052,0.0001,40.71654386825213,2469987
53,46037,2474980,-145.90850874,22330,107.89,23.839563971840292,0.0001,40.64635490382322,2471017
53,46061,2475828,-144.91116442000003,22340,106.23,23.811884207195707,0.0001,40.679564815097386,2471863
53,46091,2476821,-139.31996522999998,22350,105.38,23.675984028965008,0.0001,40.63650142903231,2472958
53,46119,2477984,-141.42392411999998,22360,108.18,23.58893782412844,0.0001,40.66173071882844,2473804
53,46151,2478933,-141.98040605999998,22370,107.7,23.691161195534747,0.0001,40.60433075474758,2474988
53,46182,2480246,-143.77149404999997,22380,108.82,23.59495969800161,0.0001,40.615706434527645,2476060
53,46219,2481330,-143.00874755,22390,106.23,23.541461414086086,0.0001,40.60691630586665,2477425
53,46241,2482136,-140.57499245,22400,104.16,23.718008220044872,0.0001,40.61829254227846,2478189
53,46275,2483263,-148.1640457,22410,102.9,23.557098876886926,0.0001,40.57373308928116,2479423
53,46301,2484469,-150.88311819,22420,104.48,23.566729625578848,0.0001,40.639319025236986,2480291
53,46338,2485442,-157.26035931,22430,104.62,23.992002270558533,0.0001,40.66188852299643,2481660
53,46357,2486354,-158.31046356999997,22440,105.26,23.524771529909163,0.0001,40.64906680433056,2482280
53,46394,2487550,-160.94489877,22450,107.29,23.37396118216922,0.0001,40.54790427949693,2483619
53,46421,2488741,-159.54321758999995,22460,107.57,23.665080683432077,0.0001,40.50313799498511,2484554
53,46463,2489971,-160.71854086999997,22470,110.38,23.63837719176973,0.0001,40.57685690266745,2486004
53,46497,2491350,-161.85566493,22480,111.04,23.562529090918325,0.0001,40.56354893064036,2487135
53,46537,2492531,-160.75641276,22490,112.01,23.773712516370402,0.0001,40.5792637130254,2488598
53,46566,2493657,-164.20922357,22500,115.21,23.522720487666703,0.0001,40.568055247932776,2489628
53,46599,2494836,-159.39389846999998,22510,115.73,23.427213546870004,0.0001,40.49305376884265,2490769
53,46626,2495846,-151.66020071,22520,113.77,23.388312416820472,0.0001,40.429083648340665,2491709
53,46669,2497187,-151.30683977000004,22530,117.45,23.66112175993551,0.0001,40.54904475964998,2493264
53,46693,2498303,-161.75772774,22540,119.49,23.569362129340192,0.0001,40.5149748596964,2494064
53,46733,2499566,-167.82628194,22550,120.16,23.651067507947474,0.0001,40.52417011584266,2495535
53,46765,2500807,-171.99182294,22560,120.66,23.407830192047417,0.0001,40.53994323211966,2496539
53,46799,2501822,-170.54818097999998,22570,118.51,23.852677568031922,0.0001,40.59255012456518,2497799
53,46832,2503117,-173.74423262999997,22580,117.67,23.671605645477875,0.0001,40.55176545509418,2498937
53,46860,2503869,-173.33153439,22590,113.38,24.395764639984023,0.0001,40.617495404349434,2500004
53,46882,2504900,-173.49469701,22600,112.43,24.04136579146553,0.0001,40.52292152610985,2500704
53,46922,2506066,-172.14933594,22610,112.3,23.77102907821261,0.0001,40.53764141969575,2502191
53,46944,2507081,-173.93264135,22620,112.35,24.327022893805253,0.0001,40.5990817019814,2502939
53,46982,2508364,-173.7731358,22630,111.77,23.778717250670567,0.0001,40.51780343824817,2504319
53,47014,2509511,-173.03108499,22640,112.08,23.88067524249737,0.0001,40.53195252095846,2505431
53,47049,2510486,-165.95131010000006,22650,109.2,24.212063036666475,0.0001,40.57296901279025,2506730
53,47077,2511869,-171.83869457,22660,110.62,23.90258708898572,0.0001,40.59492952961567,2507606
53,47116,2512879,-178.97435142000006,22670,110.57,24.06983034115917,0.0001,40.59608920115345,2508982
53,47141,2513894,-172.64714453,22680,107.77,24.228140122779813,0.0001,40.51348727262473,2509847
53,47180,2515214,-183.71615424,22690,113.45,24.22454674769256,0.0001,40.60377709340241,2511245
53,47202,2516134,-182.39644338,22700,112.34,24.14500304966757,0.0001,40.676837774423454,2511989
53,47237,2517208,-186.17449155999998,22710,111.42,24.301613149367604,0.0001,40.636215932745685,2513267
53,47263,2518385,-193.05365196,22720,113.04,24.440357942275334,0.0001,40.56122459723935,2514129
53,47305,2519678,-195.14389457,22730,113.14,24.578669107504908,0.0001,40.58612991952654,2515675
53,47327,2520581,-189.25730892000004,22740,110.7,24.88981264145648,0.0001,40.57873600819072,2516396
53,47372,2522029,-196.11657245000004,22750,115.43,24.183504398851344,0.0001,40.586262415105644,2518051
53,47394,2522990,-185.37807071,22760,111.21,24.636362504589464,0.0001,40.659326081423416,2518788
53,47428,2523903,-175.2578971000001,22770,110.24,24.373814315795897,0.0001,40.62575651098181,2520057
53,47450,2524993,-177.08034319,22780,110.99,24.479446938832602,0.0001,40.583889719645185,2520695
53,47486,2526019,-164.70431206,22790,108.05,24.22707747511266,0.0001,40.577930252507045,2521998
53,47514,2527007,-161.97634456999998,22800,108.73,24.454045810823587,0.0001,40.60375732753588,2522975
53,47549,2528185,-157.98018828,22810,109.77,24.06546813506388,0.0001,40.57666213295676,2524233
53,47581,2529379,-155.49451574,22820,109.94,24.36691441566451,0.0001,40.50353833462329,2525320
53,47615,2530432,-144.76012228,22830,107.54,24.11870989633437,0.0001,40.531459182056025,2526570
53,47640,2531593,-145.48279659,22840,110.12,24.5962960622082,0.0001,40.53962183216391,2527376
53,47676,2532540,-140.96968156,22850,105.11,24.532355110190192,0.0001,40.537906058175224,2528705
53,47704,2533696,-151.56972115,22860,107.06,24.392683603231188,0.0001,40.60400582102022,2529675
53,47733,2534662,-154.134943,22870,107.59,24.821402676900227,0.0001,40.61060350206163,2530723
53,47767,2535978,-154.24831998000002,22880,109.85,24.66190591684541,0.0001,40.58171048770655,2531787
53,47808,2537236,-156.43187436,22890,112.17,24.577574111754636,0.0001,40.60178550314788,2533311
53,47831,2538205,-157.03745192,22900,111.98,24.463389473530782,0.0001,40.61241579055786,2534104
53,47863,2539211,-152.7065537,22910,110.26,24.492372820604693,0.0001,40.53300446155024,2535259
53,47890,2540339,-157.69797115,22920,109.6,24.668992811633693,0.0001,40.556726644534876,2536148
53,47929,2541575,-162.058058,22930,111.43,24.767212848931973,0.0001,40.578646902310645,2537563
53,47957,2542803,-170.73972469,22940,112.1,24.636015363671312,0.0001,40.627413982619885,2538527
52,47998,2543891,-168.22976257000002,22950,113.51,24.69104473574558,0.0001,40.58858552697587,2540091
52,48026,2545153,-162.31850329,22960,114.57,24.504674796263377,0.0001,40.500201018651325,2541001
52,48065,2546271,-163.9545081,22970,116.09,24.703571713908335,0.0001,40.57507441065333,2542429
52,48087,2547223,-156.77661933000002,22980,112.45,24.617104761224045,0.0001,40.63446303919742,2543111
52,48126,2548446,-155.45525385000002,22990,112.1,25.053143361719645,0.0001,40.583942022556215,2544513
52,48151,2549475,-158.38733387,23000,112.7,24.692036698128014,0.0001,40.51903240655058,2545366
52,48180,2550359,-159.17906771999998,23010,111.48,24.337458096637626,0.0001,40.57250083172259,2546455
52,48203,2551239,-148.16234627,23020,109.0,24.26935157878701,0.0001,40.50149352614944,2547245
52,48233,2552228,-151.60972757000002,23030,106.53,24.417034092944224,0.0001,40.54893767616966,2548301
52,48254,2553256,-142.20718106,23040,104.53,24.29101859655663,0.0001,40.587400785056495,2549012
52,48294,2554370,-148.02214029,23050,104.79,24.581613947204453,0.0001,40.56096087369052,2550493
52,48323,2555498,-152.98318485,23060,103.45,24.386946363924107,0.0001,40.57607308749495,2551473
52,48368,2557001,-162.70136568,23070,107.3,24.394270064872835,0.0001,40.56540556575941,2553093
52,48390,2557925,-168.36764207,23080,107.02,24.470369587247333,0.0001,40.62122004806616,2553837
52,48426,2559008,-164.12757044000003,23090,105.62,24.5586456049592,0.0001,40.56038516500722,2555080
52,48449,2560053,-162.6890994,23100,105.78,24.581809037246174,0.0001,40.614497343699135,2555866
52,48486,2561292,-176.41066208,23110,109.33,24.67161956106781,0.0001,40.595678220129315,2557211
52,48514,2562376,-180.71711497,23120,111.37,24.60685431663626,0.0001,40.623783524987736,2558181
52,48547,2563364,-176.39609364000003,23130,111.36,24.418924113070027,0.0001,40.491276916367056,2559384
52,48574,2564525,-181.38476341,23140,112.69,24.498669133041844,0.0001,40.60538796704225,2560285
52,48614,2565661,-177.71333513000002,23150,112.91,24.608711399279144,0.0001,40.58200885868874,2561766
52,48645,2567031,-184.09990345999998,23160,115.33,24.64341221342855,0.0001,40.635020714106524,2562805
52,48688,2568317,-179.55132238000002,23170,113.16,24.72519224882126,0.0001,40.50980060441153,2564386
52,48714,2569411,-178.24300549,23180,114.86,24.86963510743662,0.0001,40.592215809845115,2565307
52,48748,2570435,-180.92493998000006,23190,114.27,24.76378227705808,0.0001,40.55250842512147,2566431
52,48780,2571677,-182.34492011999995,23200,116.24,24.507487481513632,0.0001,40.50003770741906,2567530
52,48815,2572749,-174.40800471,23210,114.57,24.070379776942392,0.0001,40.499586212940706,2568800
52,48839,2573857,-175.90774435000003,23220,114.81,23.989833587823913,0.0001,40.486850450205246,2569584
52,48876,2574857,-172.45015161,23230,114.93,24.367837364659618,0.0001,40.45977394282818,2570992
52,48905,2575935,-164.00373918000003,23240,114.1,24.194662449043545,0.0001,40.49722386332392,2571998
52,48937,2577098,-171.77332322,23250,114.37,23.99009873442454,0.0001,40.51068582926711,2573153
52,48964,2578162,-159.95819251,23260,111.31,24.146893778274862,0.0001,40.504654824733734,2574079
52,48998,2579137,-158.46861388,23270,108.2,24.164947527508403,0.0001,40.50176991307458,2575310
52,49018,2580111,-161.63831882000005,23280,107.0,24.042540208916915,0.0001,40.5527784447921,2575962
52,49054,2581160,-160.94321819,23290,107.25,23.845722222285687,0.0001,40.46333461488996,2577339
52,49081,2582280,-160.39449946000002,23300,106.03,23.974845007564245,0.0001,40.36773129108241,2578172
52,49119,2583419,-157.52112412,23310,106.7,23.755578667056717,0.0001,40.43533590711686,2579542
52,49147,2584555,-161.69018275,23320,106.98,23.694902861900772,0.0001,40.44291541198966,2580495
52,49181,2585635,-165.33385038,23330,107.78,23.83475738228438,0.0001,40.42470605249899,2581764
52,49209,2586807,-173.57455186000004,23340,108.72,23.747223922184535,0.0001,40.521432476951965,2582677
52,49251,2588236,-170.10849324000003,23350,111.38,23.690962350563925,0.0001,40.39870249013432,2584163
52,49278,2589123,-163.12449873000003,23360,109.61,23.283881613265635,0.0001,40.439044047510905,2585166
52,49314,2590345,-162.7938308,23370,112.08,23.647895752557435,0.0001,40.4664099708436,2586421
52,49341,2591619,-166.73113045,23380,115.08,23.55765726030335,0.0001,40.38964205009993,2587326
52,49381,2592664,-168.11928508999998,23390,115.04,23.78336301057235,0.0001,40.480499143185824,2588838
52,49404,2593659,-173.37122961999998,23400,113.79,23.71062601562095,0.0001,40.526994316978794,2589504
52,49446,2594974,-173.40273672,23410,115.55,23.665785260578293,0.0001,40.37733288300343,2591038
52,49464,2595866,-164.62321186,23420,113.11,23.85913344224294,0.0001,40.286266061994766,2591596
52,49505,2597159,-170.09589751,23430,115.24,23.795370153159148,0.0001,40.421545722267844,2593103
52,49539,2598462,-174.21575239,23440,116.55,23.776572854669244,0.0001,40.41999852571556,2594280
52,49573,2599553,-168.29458218,23450,113.17,23.77751831603206,0.0001,40.426293563842776,2595512
52,49601,2600753,-176.69139293999996,23460,116.3,23.74656584589364,0.0001,40.377179674533984,2596467
52,49644,2601996,-177.74195768000004,23470,116.51,23.856386405779947,0.0001,40.45931531120749,2598094
52,49673,2603331,-180.77751859,23480,117.12,23.683536550273065,0.0001,40.471902195711316,2599029
52,49717,2604505,-179.53039479000003,23490,118.41,23.7250524310431,0.0001,40.43386321968132,2600656
52,49742,2605636,-175.86591406000008,23500,119.77,23.96028698169119,0.0001,40.45853318625349,2601403
52,49777,2606603,-175.05466392999995,23510,116.29,23.65925236491414,0.0001,40.4522006375802,2602684
