time/total timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
540500,105,10810,50.0,5121,-69.83887482999998,0.0001,9.71999920606613,536400,25.32554843902588
541000,105,10820,50.0,5125,-70.63053844,0.0001,9.818412976264954,536800,25.52995056152344
541500,105,10830,50.0,5132,-72.17700606,0.0001,9.75621012210846,537400,25.404809455871582
542000,105,10840,50.0,5137,-71.29169184,0.0001,9.780650544166566,537800,25.504296054840086
542500,105,10850,50.0,5143,-66.66956052000002,0.0001,9.535567853450775,538400,25.457556266784668
543000,105,10860,50.0,5146,-67.93510045000001,0.0001,9.809992702007294,538800,25.60107530593872
543500,105,10870,50.0,5152,-67.33303249000001,0.0001,9.75736487388611,539400,25.412831287384034
544000,105,10880,50.0,5156,-67.45976881,0.0001,9.806353814601898,539800,25.490800304412844
544500,105,10890,50.0,5162,-68.1855535,0.0001,9.810310165882111,540400,25.363256435394288
545000,105,10900,50.0,5166,-70.34510965999999,0.0001,9.913602168560027,540800,25.423413066864015
545500,105,10910,50.0,5172,-70.75970527,0.0001,9.80173710823059,541400,25.430326061248778
546000,105,10920,50.0,5175,-69.62650273,0.0001,9.808112723827362,541800,25.340762042999266
546500,105,10930,50.0,5182,-70.70102387000001,0.0001,9.949741449356079,542400,25.482524585723876
547000,105,10940,50.0,5186,-69.99640879000002,0.0001,9.882372341156007,542800,25.416587085723876
547500,105,10950,50.0,5193,-70.94788572,0.0001,9.783689484596252,543400,25.311401824951172
548000,105,10960,50.0,5198,-68.88326273,0.0001,9.854177544116974,543800,25.386854248046873
548500,105,10970,50.0,5204,-67.54056183,0.0001,9.91142371416092,544400,25.578220748901366
549000,105,10980,50.0,5210,-69.38425284,0.0001,9.922239081859589,544800,25.365196838378907
549500,105,10990,50.0,5216,-68.38655639999999,0.0001,9.95487675189972,545400,25.59039442062378
550000,105,11000,50.0,5221,-67.35726862,0.0001,9.85543208837509,545800,25.409328022003173
550500,105,11010,50.0,5227,-66.06696063,0.0001,9.846712186336518,546400,25.56612659454346
551000,105,11020,50.0,5231,-67.71708471,0.0001,10.042113237380981,546800,25.434871940612794
551500,105,11030,50.0,5237,-65.62742967999999,0.0001,9.924616267681122,547400,25.420882949829103
552000,105,11040,50.0,5241,-66.15491977999999,0.0001,9.880139815807343,547800,25.415633296966554
552500,105,11050,50.0,5246,-65.54326121,0.0001,9.843109030723571,548400,25.368754196166993
553000,105,11060,50.0,5251,-65.68922278999999,0.0001,10.005474543571472,548800,25.431594924926756
553500,105,11070,50.0,5256,-65.82984784000001,0.0001,10.041726417541504,549400,25.488347854614258
554000,105,11080,50.0,5262,-64.39712809,0.0001,9.95442368745804,549800,25.40505895614624
554500,105,11090,50.0,5270,-64.887316,0.0001,10.017237720489502,550400,25.299081878662108
555000,105,11100,50.0,5275,-62.553688730000005,0.0001,9.953733673095703,550800,25.342662258148195
555500,105,11110,50.0,5281,-62.36204067,0.0001,9.972470784187317,551400,25.29588899612427
556000,105,11120,50.0,5286,-60.11896680999999,0.0001,10.068550224304198,551800,25.399051055908203
556500,105,11130,50.0,5292,-60.91833224,0.0001,10.041060824394226,552400,25.45962377548218
557000,105,11140,50.0,5298,-61.08321262000001,0.0001,10.220502409934998,552800,25.41348466873169
557500,105,11150,50.0,5303,-60.65239074,0.0001,10.03626792192459,553400,25.293282356262207
558000,105,11160,50.0,5307,-60.962909659999994,0.0001,9.988782818317413,553800,25.378977680206297
558500,105,11170,50.0,5313,-60.703910029999996,0.0001,10.167090845108032,554400,25.42319944381714
559000,105,11180,50.0,5318,-59.84606470999999,0.0001,10.183083958625794,554800,25.356691608428957
559500,105,11190,50.0,5326,-59.22191198,0.0001,10.220927901268006,555400,25.331449127197267
560000,105,11200,50.0,5331,-60.91191734,0.0001,10.182255325317383,555800,25.30767324447632
560500,105,11210,50.0,5337,-60.734555760000006,0.0001,10.26325196504593,556400,25.31525671005249
561000,105,11220,50.0,5341,-63.94209271999999,0.0001,10.108000864982605,556800,25.33027837753296
561500,104,11230,50.0,5348,-64.1926079,0.0001,10.0784353017807,557400,25.254944229125975
562000,104,11240,50.0,5352,-63.709208150000016,0.0001,9.958377964496613,557800,25.238609294891358
562500,104,11250,50.0,5358,-64.04367583,0.0001,10.075300843715668,558400,25.3265260887146
563000,104,11260,50.0,5362,-62.81247617,0.0001,10.20897683620453,558800,25.287571296691894
563500,104,11270,50.0,5368,-64.01687719,0.0001,10.046947383880616,559400,25.31324411392212
